30.08,8,18,1,4,2,2,1,4,5,3,5,1,4,0,19
32.8,5,13,3,5,3,6,4,3,7,0,5,1,2,2,16
19.52,0,1,0,0,0,0,1,5,6,3,1,1,1,0,0
19.62,0,5,0,2,0,0,1,2,3,0,1,0,2,1,0
29.58,7,17,1,2,2,2,2,1,3,1,1,0,4,1,17
21.23,1,7,0,4,5,6,1,2,3,5,2,0,1,0,7
15.4,1,3,0,2,0,0,1,4,5,1,3,0,1,2,2
16.62,1,4,0,0,0,0,0,1,1,1,2,2,1,0,2
26.45,2,7,2,3,2,2,1,5,6,2,0,1,0,0,8
9.43,2,3,0,0,0,0,1,0,1,0,1,0,1,0,4
3.3,0,1,0,1,1,2,0,0,0,1,1,0,1,0,1
9.23,3,5,1,3,0,0,0,1,1,0,0,0,0,0,7
6.73,2,3,1,1,0,0,0,1,1,0,0,0,0,0,5
32.38,9,14,0,3,1,2,3,8,11,14,3,0,4,1,19
24.97,6,15,2,6,9,12,2,10,12,2,3,3,2,0,23
22.42,0,1,0,0,0,0,2,4,6,0,4,0,2,0,0
25.23,3,13,2,8,0,0,0,3,3,2,1,1,0,0,8
29.8,12,22,4,7,1,1,1,1,2,4,1,2,0,0,29
25.78,5,7,2,3,1,2,0,4,4,1,1,2,2,0,13
13.85,1,3,0,1,0,0,1,1,2,3,2,0,2,1,2
22.53,2,3,0,1,0,0,0,4,4,2,0,3,0,0,4
14.15,2,6,2,5,0,0,2,2,4,0,4,1,1,1,6
5.83,1,4,0,0,0,0,0,0,0,0,1,0,0,0,2
12,2,3,0,0,0,0,0,3,3,3,1,0,1,1,4
5.57,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
5.5,1,2,1,1,2,2,0,0,0,0,1,0,0,0,5
30.5,12,16,3,4,2,2,0,4,4,3,0,1,2,0,29
32.17,1,8,0,3,0,0,1,2,3,0,5,0,1,0,2
40.95,4,7,0,0,4,4,4,10,14,2,3,0,3,2,12
37.65,9,17,3,7,5,5,0,2,2,1,3,2,0,1,26
38.75,7,18,1,6,4,4,0,2,2,6,2,2,1,1,19
14.1,1,1,0,0,0,0,0,0,0,1,2,1,1,0,2
17.92,2,6,1,2,0,0,0,2,2,2,0,0,3,0,5
14.8,2,5,0,1,0,0,0,1,1,4,1,2,0,0,4
4.85,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
8.33,2,4,0,1,1,1,1,1,2,0,2,0,0,0,5
22.35,0,2,0,1,0,0,0,1,1,1,1,2,2,0,0
28.4,3,6,2,3,1,1,0,4,4,1,0,1,1,0,9
14.57,1,4,0,0,0,0,0,1,1,1,4,0,0,0,2
34.6,8,16,2,2,7,7,1,1,2,3,3,1,3,0,25
35.42,13,20,4,6,9,9,1,8,9,6,3,0,4,0,39
26.02,1,7,0,0,1,1,0,5,5,5,1,1,0,1,3
29.15,6,10,4,5,2,2,0,3,3,3,2,0,2,0,18
24.12,2,3,0,0,2,2,3,4,7,1,2,0,0,1,6
16.1,5,5,1,1,0,0,0,1,1,0,1,0,0,1,11
9.25,0,2,0,1,0,0,0,1,1,1,1,0,0,0,0
