0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.92,7,12,0,4,0,0,0,5,5,0,3,1,1,0,14
9.65,0,1,0,0,0,0,1,0,1,0,3,1,2,0,0
39.58,6,10,2,2,1,3,1,5,6,5,0,1,1,0,15
36.98,3,9,1,4,2,2,0,2,2,1,3,1,1,1,9
39.73,9,21,3,5,8,9,1,1,2,12,2,1,2,0,29
28.37,10,14,2,6,4,5,1,4,5,4,5,0,1,0,26
29.55,4,7,2,2,3,4,0,6,6,4,4,0,0,2,13
19.67,3,5,1,3,2,2,0,3,3,0,3,1,0,0,9
4.38,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
